,Authors,Abstract
S,Baker C.M.,"This article develops the concepts of regulatory legal strategy, a resource-based view of government agencies, and regulatory entrepreneurship. These ideas are explored through a case study of the limited (if any) access that legal cannabis-related businesses have to the banking system due to the clash between federal law and laws in those states that have legalized some uses of cannabis. This article argues that regulators’ entrepreneurial regulatory legal strategies can have a material impact on regulated entities and give them a competitive advantage. To demonstrate, this article claims that regulators’ adoption of permissive regulatory legal strategies has facilitated access of some cannabis-related businesses to the banking system. Conversely, if regulators adopted obstructive regulatory strategies, this would act as a constraint on such access in the future, even if Congress resolves the federalism issue largely responsible for the current limitations these businesses face. © 2021 The Author. American Business Law Journal © 2021 Academy of Legal Studies in Business"
S,Charlebois S.; Somogyi S.; Sterling B.,"At the time of this study, the Canadian government intends to legalize the use of recreational cannabis. Despite its intentions, the regulatory framework remains ambiguous. Food businesses, with their constant search for growth, are considering launching several food products with cannabis as an ingredient, once the drug is legalized. This study does not look at the health effects of cannabis per se, but rather consumers’ perception of cannabis as a food ingredient through the lens of food innovation, if it were to be legalized. It explores several dimensions, including cannabis-infused food products sold in grocery stores and dishes served at restaurants. It evaluates potential times when consumers would consume these products, in addition to their preferred food products. The survey also looks at perceived risks related to specific demographics such as children and pregnant women. The survey assesses both perceived risks and anticipated behaviour in a market in which a former illicit product becomes readily available. The results show that Canadians, although mostly favourable to cannabis's legalization and willing to try cannabis-infused food products, are concerned about health risks the drug represents, especially for young children. Results also suggest that most Canadians do not feel knowledgeable enough to cook with cannabis at home, which opens an opportunity for leaders in the industry. Finally, the study presents limitations and suggested future paths for research. © 2018 Elsevier Ltd"
S,Parker K.A.; Di Mattia A.; Shaik F.; Cerón Ortega J.C.; Whittle R.,"Thirty states and the District of Columbia have legalized the use of cannabis for medicinal and/or recreational use by either formally or informally de-criminalizing its use. However, cannabis remains a Schedule 1 drug under the Federal Controlled Substances Act (21 U.S.C. Sections 801 through 812), leaving federal law in conflict with the laws of over half of the states. As a result, market participants in legal cannabis businesses face risks due to the industry's unique legal status within the United States. We examine the risks and challenges deemed by the cannabis industry as the top risks facing the industry's continued future growth and its sustainability. In addition to general risks inherent in a nascent industry, a legal cannabis business faces additional risks, such as risks in its banking and finance activity, placement of insurance, payment of taxes, and managing its supply chain. These legal businesses also face true legal risk from the possibility of being shut down by the federal government and seizure of assets and product under the CSA. This paper also examines whether the cannabis industry would benefit from a futures market to mitigate price risk. © 2019 New York University Salomon Center and Wiley Periodicals, Inc."
S,Veta D.J.; Nonaka M.; Konko J.S.,"The House Financial Services Committee recently voted 45-15 to advance to the full House of Representatives the ""Secure and Fair Enforcement Banking Act of2019."" The Act would shield banks and credit unions from federal regulatory penalties for providing financial services to legitimate cannabis-related businesses and service providers. The authors of this article discuss the bill. © 2019 Sheshunoff Information Services. All rights reserved."
S,Guttery R.S.; Poe S.L.,"The cannabis industry is growing rapidly, with a majority of states having passed legislation allowing the use of marijuana in some capacity. Significant challenges exist for those seeking to invest in this industry. An alternative source of financing could be a real estate invest-ment trust (REIT). The investment risk can be spread among many investors, who can offer longer-Term and lower interest rate loans than tra-ditional financing. The major downsides to REIT investing are risks related to the fact that marijuana is still illegal under federal law. As REITs must dis-tribute at least 90% of taxable income as share-holder dividends, this leaves minimal capital for expansion and growth. © 2018 American Real Estate Society. All rights reserved."
S,Walsh J.M.,"A current perspective of workplace drug testing in the USA is presented covering three major issue areas: (1) epidemiology, (2) new technology and (3) initiatives to reach out and assist small business. First, national illegal drug-use self-reported survey data is compared with national laboratory drug testing results, illustrating a number of inconsistencies. During the 17-year period (1988-2004) the number of laboratory positive test results has decreased by 66% while during the same period self-reported drug-use has increased by 30%. The lack of concurrence between lab results and self-report surveys are examined in light of the typical panel of drugs being tested in U.S. laboratories, the increased specificity of immunoassay screening tests, and the critical issues of adulteration and substitution. Second, a brief review of the state-of-the-science in rapid point-of-collection (POCT) oral fluid drug-testing devices is presented along with some device evaluation findings. In general the window of drug detection in oral fluid is measured in hours. Most of the available oral fluid POCT devices can detect methamphetamine and amphetamines and opiates very well. The ability to detect cocaine appears to vary significantly across devices, while the ability to detect cannabis use is generally poor across all devices. Finally, efforts to reach out and assist small businesses in the development of workplace anti-drug programs are discussed in the context of increasing workplace programs in the European Union. © 2007 Elsevier Ireland Ltd. All rights reserved."
S,Oglesby P.,"A Federal tax on cannabis requires answers to several questions: 1. What should we tax? What should be the ""base"" or bases of a cannabis tax? (Possible bases include: Price; weight of various product types [like flower, trim, and concentrate]; and THC content.) 2. Given any base, what should the tax rate be? 3. Should medical cannabis bear full tax? 4. Should marijuana advertising and selling expenses become deductible for federal income tax purposes? (That would treat cannabis businesses like other businesses; current Internal Revenue Code section 280E bars such deductions.) Recently introduced federal legislation provides answers, some more aligned with drug policy than others, to those questions. © 2018 Walter de Gruyter GmbH, Berlin/Boston."
S,Moiseeva E.K.,"This article explores how not-in-my-backyard (NIMBY) sentiments affect the implementation of new cannabis laws in California cities. Despite increasing legality and growing social tolerance, the actual status of cannabis remains controversial. Large segments of the population and local authorities remain uncomfortable with the use of cannabis and resist allowing cannabis facilities in their communities. I employ statistical analysis to understand why some jurisdictions move toward more permissive cannabis policies and others do not. The results show that, on average, socially and economically prosperous cities express higher support for cannabis legalization, but cannabis businesses are more likely to receive permits in cities that are socially and economically distressed. The disparity between demand (white middle-class communities) and supply (poor Hispanic communities) demonstrates that stereotypes generated by the war on drugs have not disappeared after the passage of new cannabis laws and continue to perpetuate the marginalization of disadvantaged individuals and places.  © The Author(s), 2023. Published by Cambridge University Press on behalf of American Bar Foundation."
S,Small E.,"Cannabis sativa is best known as the source of marijuana, the world's most widely consumed illicit recreational drug. However, the plant is also extremely useful as a source of stem fiber, edible seed oil, and medicinal compounds, all of which are undergoing extremely promising research, technological applications, and business investment. Indeed, despite its capacity for harm as a recreational drug, cannabis has phenomenal potential for providing new products to benefit society and for generating extensive employment and huge profits. Misguided policies, until recently, have prevented legitimate research on the beneficial properties of cannabis, but there is now an explosion of societal, scientific, and political support to reappraise and remove some of the barriers to usage. Unfortunately, there is also a corresponding dearth of objective analysis. Towards redressing the limitation of information, Cannabis: A Complete Guide is a comprehensive reference summarizing botanical, business, chemical, ecological, genetic, historical, horticultural, legal, and medical considerations that are critical for the wise advancement and management of cannabis in its various forms. This book documents both the risks and benefits of what is indisputably one of the world's most important species. The conflicting claims for medicinal virtues and toxicological vices are examined, based mainly on the most recent authoritative scientific reviews. The attempt is made consistently to reflect majority scientific opinion, although many aspects of cannabis are controversial. Aside from the relevance to specialists, the general public should find the presentation attractive because of the huge interest today in marijuana. Unfortunately, society has become so specialized and compartmentalized that most people have limited appreciation of the importance of science to their lives, except when a topic like marijuana becomes sensationalized. This review of cannabis can serve as a vehicle for public education in the realm of science and technology. Indeed, towards the goal of disseminating the important information in this book to a wide audience, the presentation is user-friendly, concise, and well-illustrated in the hope that non-specialists will find the topics both informative and entertaining. © 2017 by Taylor & Francis Group, LLC. All rights reserved."
S,Yaskewich D.M.,"Marijuana legalization in U.S. states has introduced new regulatory processes, which allow for some degree of local authority. A common provision in state laws has provided a local option, which enables municipalities to prohibit commercial cannabis facilities within their borders. This paper examined potential determinants of prohibition decisions, with an emphasis on community and local government characteristics. Using a multivariate logistic regression model, determinants of local decisions to prohibit cannabis businesses in Michigan were analyzed. A unique feature of Michigan’s approach to legalization included separate local options to opt into medical marijuana and opt out of recreational marijuana. The results found that both community and local government characteristics explain variation in prohibitions on marijuana businesses. In general, local governments were more tolerant of marijuana businesses in areas with lower densities of senior citizens and higher densities of Black residents. However, the effects of some determinants varied based on whether the decision was to allow medical or recreational marijuana. Higher income areas were more likely to opt out of recreational marijuana, but they were no different from other areas on the likelihood of opting into medical marijuana. Prohibition decisions also were affected by local government characteristics, such as the number of members on city council, female representation, and having a council-manager form of government. © The Author(s) 2022."
S,Hill J.A.,"Marijuana-related businesses have banking problems. Many banks explain that, because marijuana is illegal under federal law, they will not serve the industry. Even when marijuana-related businesses can open bank accounts, they still have trouble accepting credit cards and getting loans. Some hope to fix marijuana's banking problems with changes to federal law. Proposals range from broad reforms removing marijuana from the list of controlled substances to narrower legislation prohibiting banking regulators from punishing banks that serve the marijuana industry. But would these proposals solve marijuana's banking problems? In 2018, Congress legalized another variant of the Cannabis plant species: hemp. Prior to legalization, hemp-related businesses, like marijuana-related businesses, struggled with banking. Some hoped legalization would solve hemp's banking problems. It did not. By analyzing the hemp banking experience, this Article provides three insights. First, legalization does not necessarily lead to inexpensive, widespread banking services. Second, regulatory uncertainty hampers access to banking services. When banks were unsure what state and federal law required of hemp businesses and were unclear about bank regulators' compliance expectations for hemp-related accounts, they were less likely to serve the hemp industry. Regulatory structures that allow banks to easily identify who can operate cannabis businesses and verify whether the business is compliant with the law are more conducive to banking. Finally, even with clear law and favorable regulatory structures, the emerging cannabis industry will still present credit, market, and other risks that make some banks hesitant to lend.  © 2021 Julie Andersen Hill."
S,Beauregard V.; Brochu S.; Tardif-Gagné X.,"The increasing popularity of cannabis among drug users in Quebec over the last decade largely exceeded any other illicit substances. This situation provides a first clue as how to explain the involvement of Quebec in the culture of cannabis. Supplanting British Columbia, Quebec now counts the largest number of cases of production of cannabis. Since this culture is profitable and relatively easy, criminal groups see in this business a quick and efficient way of making easy money. The profits from the cultivation and traffic of cannabis are often used to finance other illegal activities. This craze for culture has generated significant technological progress, particularly for domestic culture, improving profitability and quality of cannabis. Circumstantial evidence suggests that this production is not only used domestically to satisfy local drug users, but that a considerable proportion is exported to the United States. This article aims to focus on Quebec's position in the field of cannabis cultivation."
S,Qatanani A.; Umar M.; Padela A.I.,"There is growing momentum to legalize medical cannabis across the United States. Positive public attitudes and permissive policies are based on growing anecdotal experiences and medical evidence that enumerate the health benefits of cannabis. Against this backdrop, Muslim stakeholders are (re)-evaluating their stance on the issue for Muslim patients who may benefit from such novel treatments, Muslim physicians who could incorporate the provision of cannabis into practices, and Muslim entrepreneurs who may seek to engage with the pharmaceutical and business aspects of the growing industry. Given this renewed interest, the Fiqh Council of North America (FCNA), a deliberative body comprised of Islamic jurists and medical consultants, examined the medical as well as religious evidence surrounding medical cannabis in order to furnish Muslim Americans with religious guidance. In 2018, they resolved that, while the use of intoxicating substances is proscribed by Islamic law, medical cannabis was permissible for Muslims to use with the following stipulations: Non-psychoactive preparations of cannabis are permitted to treat illnesses for which therapeutic effects of cannabis are certain, and psychoactive preparations are contingently permissible in cases of dire necessity. In this paper we first discuss the deliberative process and ethico-legal rationale brought to bear in furnishing the ruling, and then proceed to critically examine its conceptual gaps, practical limitations, and future implications. Clarifying the nuances around the religious permissibility of medical cannabis is important for Muslim patients and providers whose attitudes and behaviors may be informed by the ruling, as well for stakeholder groups within pharmaceutical and health policy circles who aim to address the needs of the global Muslim community that may stand to benefit from advances in medical cannabis research and therapeutics. © 2021 Elsevier B.V."
S,Stoa R.B.,"The cannabis industry continues to evolve at a dizzying pace. Across the United States, states and cities shape and reshape their cannabis policies and regulations, cannabis businesses jockey for position and profit, and consumers sift through a marketplace brimming with cannabis products. It is difficult for many stakeholders to make sense of these rapid changes, and by the time they do, the landscape will likely shift again. This article identifies and explores some emerging legal challenges facing the cannabis industry and its stakeholders. It begins with a breakdown of the state of legalization initiatives in the United States as well as the less than ironclad nature of federal prohibition. Next, the article explores the business of cannabis, considering the size of the industry, the interplay between regulated and unregulated markets, and the regulatory challenges facing cannabis businesses today. Finally, the article explores notions of justice and equity as they relate to the cannabis industry and the role governments can play to right the wrongs of the war on drugs while spreading the benefits of legalization equitably. © 2023"
S,Jenkins M.C.; Kelly L.; Binger K.; Moreno M.A.,"Background: Since 2012, several states have legalized non-medical cannabis, and cannabis businesses have used social media as a primary form of marketing. There are concerns that social media cannabis exposure may reach underage viewers. Our objective was to identify how cannabis businesses cultivate an online presence and exert influence that may reach youth. Methods: We chose a cyber-ethnographic approach to explore cannabis retailers on social media. We searched cannabis retailers with Facebook and Instagram presence from Alaska, Oregon, Colorado, and Washington, and identified 28 social media business profiles. One year of content was evaluated from each profile. In-depth, observational field notes were collected from researchers immersed in data collection on business profiles. Field notes were analyzed to uncover common themes associated with social media cannabis marketing. Results: A total of 14 businesses were evaluated across both Facebook and Instagram, resulting in 14 sets of combined field notes. A major theme was Normalization of Cannabis, involving both Broad Appeal and Specific Targeting. Conclusions: It is concerning that Normalization of Cannabis by cannabis businesses may increase cannabis acceptability among youth. In a digital world where the majority of youth are spending time online, it is important for policymakers to examine additional restrictions for cannabis businesses marketing through social media. © 2021, The Author(s)."
S,Shehu H.; Durga Rao P.,"Market liberalization policies brought in by globalization have increased the spread of drugs in rural communities of the Northeast zone of Jigawa State in specific and Nigeria in general. The primary occupation of this zone is agriculture both in the wet season and irrigation type. The study investigates the extent of drug use in these communities and to sensitize the dwellers on the danger of drug abuse. Examines how globalization made foreign drugs accessible to the local people. The study reveals the frequent abuse of Tramadol cigarette and cannabis. Both qualitative and quantitative methods were employed for data collection. The boom of agricultural business lack of government commitment and ignorance about the adverse effects of drugs intake are the main reasons for drug abuse in the study area.Government should focus attention on the rural communities through provision of basic infrastructural facilities, health care delivery system and improve security to reduce the menace of drug use. © 2020 SERSC."
S,Matthay E.C.; Mousli L.M.; Fu C.; Zhang S.; Ponicki W.R.; Gruenewald P.; Apollonio D.E.; Schmidt L.A.,"Objectives. To assess whether cannabis control policies that may protect public health were adopted evenly across California localities with differing sociodemographic compositions. Methods. From November 2020 to January 2021, we measured cannabis control policies for 241 localities across California and linked them to data on the characteristics of the communities affected by these policies. We evaluated whether disadvantaged communities were more likely to allow cannabis businesses and less likely to be covered by policies designed to protect public health. Results. Localities with all-out bans on cannabis businesses (65% of localities) were disproportionately high-education (55.8% vs 50.5% with any college) and low-poverty (24.3% vs 34.2%), with fewer Black (4.4% vs 6.9%) and Latinx (45.6% vs 50.3%) residents. Among localities that allowed retail cannabis businesses (28%), there were more cannabis control policies in localities with more high-income and Black residents, although the specific policies varied. Conclusions. Cannabis control policies are unequally distributed across California localities. If these policies protect health, inequities may be exacerbated. © 2022 Authors. All rights reserved."
S,Trangenstein P.J.; Whitehill J.M.; Jenkins M.C.; Jernigan D.H.; Moreno M.A.,"Methods: Data are from an online survey of 482 adolescents (aged 15–19 years) living in states with legalized retail cannabis. Youth were asked about their engagement with cannabis promotions, including whether they liked/followed cannabis businesses on social media (Facebook, Twitter, and Instagram), had a favorite cannabis brand, or could see themselves owning/wearing a cannabis-branded product. Youth also self-reported cannabis use in the past year. We used logistic regression with a Bonferroni correction to compare the odds of cannabis use among youth with different levels of engagement with cannabis promotions and brands after controlling for demographics. Results: After adjusting for several possible confounders, youth who liked or followed a cannabis business on at least one social media platform had 5 times higher odds of past-year cannabis use (aOR = 5.00, 95% CI: 2.47, 10.09, p < 0.001). Youth who thought it was likely that they would own or wear cannabis-branded merchandise (aOR = 6.93, 95% CI: 4.45, 10.78, p < 0.001) or who had a favorite cannabis brand (aOR = 7.98, 95% CI: 4.90, 13.00, p < 0.001) had nearly 8 times greater odds of past-year cannabis use. Conclusion: Youth who engage with cannabis promotions and brands had higher odds of past-year cannabis use. Jurisdictions with retail cannabis may want to consider restrictions to limit youth engagement with cannabis promotions. © 2019 Elsevier B.V."
S,Blanchette J.G.; Pacula R.L.; Smart R.; Lira M.C.; Boustead A.E.; Caulkins J.P.; Kilmer B.; Kerr W.C.; Treffers R.; Naimi T.S.,"Background: Cannabis policy is developing faster than empirical evidence about policy effects. With a panel of experts in substance use policy development and research, we identified key cannabis policies and their provisions enacted by U.S. states; rated their theoretical efficacy in a restrictive form for reducing problematic use and impaired driving in the context of a recreational cannabis market as judged by experts; and rated the strength of evidence for each policy. Methods: Using a modified Delphi approach, 9 panelists rated the comparative efficacy of 18 state cannabis policies for reducing youth use of cannabis, excessive cannabis use among the general population, and cannabis-impaired driving. Each outcome was rated separately using a Likert scale, and panelists also rated the strength of evidence supporting each efficacy rating. Investigators provided descriptions of each policy so that the nine panelists had similar conceptions of each policy. Results: State monopoly (state owns all production, manufacturing, wholesale, and retail operations) was rated as the most effective policy for all three outcome areas. Restrictions on retail physical availability, taxes, retail price restrictions, and retail operations restrictions were also highly rated for all three outcomes. Policies regulating cannabis businesses and products were judged more effective than policies targeting consumer use and behavior. Panelists reported there was little or no direct evidence from the cannabis policy literature for most of the included policies. Conclusion: These ratings can facilitate research as well as policy-making decisions. A relatively small number of policies were judged to be highly effective across all three domains, indicating that for the most part adult excessive use, youth use, and impaired driving can all be reduced with the same set of policies; these policies tended to target the behaviors of businesses rather than consumers. The low levels of direct evidence available to inform policy ratings, as reported by the policy panelists, makes clear the need for ongoing and sustained cannabis policy research. © 2022"
S,Brushwood J.D.; Hall C.M.; Rapley E.T.,"Since 2014, a number of U.S. states have legalized business activities related to the production, distribution, and use of recreational cannabis. These activities remain illegal at the U.S. federal level, creating a dual regulatory environment. The uncertainty related to the enforcement of federal cannabis laws affects businesses located in legalizing states, particularly federally-insured banks. Applying a difference-in-differences approach to a matched sample of banks in legalizing and non-legalizing states, we document an increase in audit fees incurred by banks located in legalizing states after cannabis legalization. This finding is consistent with increased auditor effort and engagement risk being an unintended consequence of state-level recreational cannabis legalization. In supplemental analysis, we find that the relation between banks’ audit fees and cannabis legalization was greater for banks having larger increases in banking activity, suggesting that audit fees increased primarily for banks that may be engaging in relationships with cannabis-related businesses. © 2020 Elsevier Inc."
